serial,name,value,notes
16-50010,CC_a0,1.219475e-03,date in filename comes from latest sensor caldate within QCT cap file
16-50010,CC_a1,2.854635e-04,
16-50010,CC_a2,-2.445335e-06,
16-50010,CC_a3,2.357681e-07,
16-50010,CC_cpcor,-9.570000e-08,
16-50010,CC_ctcor,3.250000e-06,
16-50010,CC_g,-1.010971e+00,
16-50010,CC_h,1.406754e-01,
16-50010,CC_i,-1.199313e-04,
16-50010,CC_j,3.331103e-05,
16-50010,CC_pa0,8.505206e-02,
16-50010,CC_pa1,4.880085e-04,
16-50010,CC_pa2,-6.215155e-12,
16-50010,CC_ptca0,5.250635e+05,
16-50010,CC_ptca1,1.555773e+01,
16-50010,CC_ptca2,-3.463826e-01,
16-50010,CC_ptcb0,2.506713e+01,
16-50010,CC_ptcb1,2.500000e-05,
16-50010,CC_ptcb2,0.000000e+00,
16-50010,CC_ptempa0,-6.043685e+01,
16-50010,CC_ptempa1,5.388726e+01,
16-50010,CC_ptempa2,-5.512908e-01,
