serial,name,value,notes
16-50110,CC_a0,1.282055e-003, source_file CTDBP-D_SBE_16PlusV2_SN_16-50110_Calibration_Files_2023-11-03.zip > 50110.cal
16-50110,CC_a1,2.702780e-004,
16-50110,CC_a2,-9.909997e-007,
16-50110,CC_a3,1.746054e-007,
16-50110,CC_cpcor,-9.570000e-008,
16-50110,CC_ctcor,3.250000e-006,
16-50110,CC_g,-9.750988e-001,
16-50110,CC_h,1.491296e-001,
16-50110,CC_i,-1.027685e-004,
16-50110,CC_j,3.026329e-005,
16-50110,CC_pa0,-2.669445e+000,
16-50110,CC_pa1,1.727341e-003,
16-50110,CC_pa2,8.118608e-011,
16-50110,CC_ptca0,5.210080e+005,
16-50110,CC_ptca1,-6.876503e+001,
16-50110,CC_ptca2,8.168275e-002,
16-50110,CC_ptcb0,2.480888e+001,
16-50110,CC_ptcb1,-2.250000e-004,
16-50110,CC_ptcb2,0.000000e+000,
16-50110,CC_ptempa0,1.789140e+002,
16-50110,CC_ptempa1,-7.860039e+001,
16-50110,CC_ptempa2,9.283013e-001,
