serial,name,value,notes
16-50149,CC_a0,1.256710e-03,date in filename comes from latest sensor caldate within QCT cap file
16-50149,CC_a1,2.717639e-04,
16-50149,CC_a2,-6.272713e-07,
16-50149,CC_a3,1.583643e-07,
16-50149,CC_cpcor,-9.570000e-08,
16-50149,CC_ctcor,3.250000e-06,
16-50149,CC_g,-9.762139e-01,
16-50149,CC_h,1.554529e-01,
16-50149,CC_i,-1.879052e-04,
16-50149,CC_j,3.722865e-05,
16-50149,CC_pa0,4.209591e+00,
16-50149,CC_pa1,3.185100e-03,
16-50149,CC_pa2,9.398289e-11,
16-50149,CC_ptca0,5.271905e+05,
16-50149,CC_ptca1,4.519280e+01,
16-50149,CC_ptca2,7.113790e-01,
16-50149,CC_ptcb0,2.507538e+01,
16-50149,CC_ptcb1,-3.250000e-04,
16-50149,CC_ptcb2,0.000000e+00,
16-50149,CC_ptempa0,1.520350e+02,
16-50149,CC_ptempa1,-5.803377e+01,
16-50149,CC_ptempa2,-8.371848e-01,
