serial,name,value,notes
16-50116,CC_a0,1.273938e-003,source_file 50116.cal
16-50116,CC_a1,2.680888e-004,
16-50116,CC_a2,-3.645957e-007,
16-50116,CC_a3,1.513597e-007,
16-50116,CC_cpcor,-9.570000e-008,
16-50116,CC_ctcor,3.250000e-006,
16-50116,CC_g,-9.864422e-001,
16-50116,CC_h,1.555045e-001,
16-50116,CC_i,-2.177553e-004,
16-50116,CC_j,4.268515e-005,
16-50116,CC_pa0,-4.144110e+000,
16-50116,CC_pa1,6.385875e-004,
16-50116,CC_pa2,1.026143e-011,
16-50116,CC_ptca0,5.099838e+005,
16-50116,CC_ptca1,-2.807320e+002,
16-50116,CC_ptca2,-1.191795e+000,
16-50116,CC_ptcb0,2.508125e+001,
16-50116,CC_ptcb1,2.500000e-004,
16-50116,CC_ptcb2,0.000000e+000,
16-50116,CC_ptempa0,4.072507e+001,
16-50116,CC_ptempa1,-4.366180e+001,
16-50116,CC_ptempa2,-4.798972e-001,
