serial,name,value,notes
16-50125,CC_a0,1.237408e-003,source_file 50125.cal
16-50125,CC_a1,2.767766e-004,
16-50125,CC_a2,-1.235000e-006,
16-50125,CC_a3,1.832162e-007,
16-50125,CC_cpcor,-9.570000e-008,
16-50125,CC_ctcor,3.250000e-006,
16-50125,CC_g,-9.837510e-001,
16-50125,CC_h,1.523988e-001,
16-50125,CC_i,-2.245910e-004,
16-50125,CC_j,4.038276e-005,
16-50125,CC_pa0,2.878192e+000,
16-50125,CC_pa1,3.182648e-003,
16-50125,CC_pa2,9.282844e-011,
16-50125,CC_ptca0,5.257238e+005,
16-50125,CC_ptca1,2.539138e+001,
16-50125,CC_ptca2,6.258490e-001,
16-50125,CC_ptcb0,2.495550e+001,
16-50125,CC_ptcb1,-1.000000e-004,
16-50125,CC_ptcb2,0.000000e+000,
16-50125,CC_ptempa0,-5.593084e+001,
16-50125,CC_ptempa1,1.283601e+002,
16-50125,CC_ptempa2,-4.197384e+001,
