serial,name,value,notes
37-11610,CC_a0,-1.086597e-004,source_file CTDMO-G_SBE_37IM_SN_37-11610_Calibration_Files_2024-01-21.zip > 11610.cal
37-11610,CC_a1,3.041669e-004,
37-11610,CC_a2,-4.158936e-006,
37-11610,CC_a3,1.945603e-007,
37-11610,CC_g,-9.927748e-001,
37-11610,CC_h,1.659434e-001,
37-11610,CC_i,-5.697462e-004,
37-11610,CC_j,7.258781e-005,
37-11610,CC_ctcor,3.250000e-006,
37-11610,CC_cpcor,-9.570000e-008,
37-11610,CC_wbotc,3.736990e-007,
37-11610,CC_pa0,3.947470e-001,
37-11610,CC_pa1,4.478489e-003,
37-11610,CC_pa2,-1.879259e-011,
37-11610,CC_ptca0,5.248144e+005,
37-11610,CC_ptca1,4.942046e+000,
37-11610,CC_ptca2,-1.020840e-002,
37-11610,CC_ptcb0,2.542750e+001,
37-11610,CC_ptcb1,2.100000e-003,
37-11610,CC_ptcb2,0.000000e+000,
37-11610,CC_ptempa0,-6.888156e+001,
37-11610,CC_ptempa1,5.173413e-002,
37-11610,CC_ptempa2,-6.593819e-007,
37-11610,CC_p_range,1450,
