serial,name,value,notes
37-13653,CC_a0,-1.476194e-004,source_file CTDMO-H_SBE_37IM_SN_37-13653_Calibration_Files_2024-01-25.zip > 13653.cal
37-13653,CC_a1,3.167583e-004,
37-13653,CC_a2,-5.187261e-006,
37-13653,CC_a3,2.192578e-007,
37-13653,CC_g,-9.701054e-001,
37-13653,CC_h,1.438062e-001,
37-13653,CC_i,-8.129164e-005,
37-13653,CC_j,2.747824e-005,
37-13653,CC_ctcor,3.250000e-006,
37-13653,CC_cpcor,-9.570000e-008,
37-13653,CC_wbotc,1.283235e-007,
37-13653,CC_pa0,-1.158662e+000,
37-13653,CC_pa1,1.626370e-002,
37-13653,CC_pa2,-7.924077e-010,
37-13653,CC_ptca0,5.250970e+005,
37-13653,CC_ptca1,-3.253370e+000,
37-13653,CC_ptca2,2.503972e-003,
37-13653,CC_ptcb0,2.519413e+001,
37-13653,CC_ptcb1,2.500000e-005,
37-13653,CC_ptcb2,0.000000e+000,
37-13653,CC_ptempa0,1.755638e+002,
37-13653,CC_ptempa1,-9.422222e-002,
37-13653,CC_ptempa2,1.828950e-006,
37-13653,CC_p_range,5076,
