serial,name,value,notes
37-12636,CC_a0,-4.631974e-005,source_file CTDMO-Q_SBE_37IM_SN_37-12636_Calibration_Files_2025-01-20.zip > 12636.cal
37-12636,CC_a1,2.950015e-004,
37-12636,CC_a2,-3.572527e-006,
37-12636,CC_a3,1.772991e-007,
37-12636,CC_g,-9.901257e-001,
37-12636,CC_h,1.520604e-001,
37-12636,CC_i,-1.544701e-004,
37-12636,CC_j,3.576654e-005,
37-12636,CC_ctcor,3.250000e-006,
37-12636,CC_cpcor,-9.570000e-008,
37-12636,CC_wbotc,2.284814e-007,
37-12636,CC_pa0,2.638574e-001,
37-12636,CC_pa1,4.472178e-003,
37-12636,CC_pa2,-9.835709e-012,
37-12636,CC_ptca0,5.245468e+005,
37-12636,CC_ptca1,2.353604e+000,
37-12636,CC_ptca2,1.240539e-002,
37-12636,CC_ptcb0,2.550763e+001,
37-12636,CC_ptcb1,3.250000e-004,
37-12636,CC_ptcb2,0.000000e+000,
37-12636,CC_ptempa0,-6.832852e+001,
37-12636,CC_ptempa1,5.211129e-002,
37-12636,CC_ptempa2,-7.262682e-007,
37-12636,CC_p_range,1450,
