serial,name,value,notes
37-13376,CC_a0,-1.560631e-004,source_file: 13376.cal
37-13376,CC_a1,3.086567e-004,
37-13376,CC_a2,-4.187039e-006,
37-13376,CC_a3,1.950625e-007,
37-13376,CC_g,-9.921857e-001,
37-13376,CC_h,1.369924e-001,
37-13376,CC_i,-1.382843e-004,
37-13376,CC_j,2.955654e-005,
37-13376,CC_ctcor,3.250000e-006,
37-13376,CC_cpcor,-9.570000e-008,
37-13376,CC_wbotc,1.237838e-007,
37-13376,CC_pa0,4.214729e-001,
37-13376,CC_pa1,1.592072e-002,
37-13376,CC_pa2,-7.433235e-010,
37-13376,CC_ptca0,5.246469e+005,
37-13376,CC_ptca1,2.639845e+000,
37-13376,CC_ptca2,-6.838049e-002,
37-13376,CC_ptcb0,2.500613e+001,
37-13376,CC_ptcb1,-1.750000e-004,
37-13376,CC_ptcb2,0.000000e+000,
37-13376,CC_ptempa0,2.559695e+002,
37-13376,CC_ptempa1,-1.162566e-001,
37-13376,CC_ptempa2,2.929281e-006,
37-13376,CC_p_range,5076,
