serial,name,value,notes
37-12331,CC_a0,-1.039892e-04,source_file CTDMO-S_SBE_37IM_SN_37-12331_Calibration_Files_2026-01-21.zip > 12331.cal
37-12331,CC_a1,3.054381e-04,
37-12331,CC_a2,-4.336438e-06,
37-12331,CC_a3,1.993640e-07,
37-12331,CC_g,-9.795922e-01,
37-12331,CC_h,1.700408e-01,
37-12331,CC_i,3.178360e-05,
37-12331,CC_j,3.222389e-05,
37-12331,CC_ctcor,3.250000e-06,
37-12331,CC_cpcor,-9.570000e-08,
37-12331,CC_wbotc,4.864379e-07,
37-12331,CC_pa0,1.485439e-02,
37-12331,CC_pa1,5.091682e-04,
37-12331,CC_pa2,-4.693250e-12,
37-12331,CC_ptca0,5.248398e+05,
37-12331,CC_ptca1,3.422512e+00,
37-12331,CC_ptca2,-9.433278e-02,
37-12331,CC_ptcb0,2.512900e+01,
37-12331,CC_ptcb1,-2.000000e-04,
37-12331,CC_ptcb2,0.000000e+00,
37-12331,CC_ptempa0,-7.484221e+01,
37-12331,CC_ptempa1,4.830541e-02,
37-12331,CC_ptempa2,-1.897768e-07,
37-12331,CC_p_range,160,
