serial,name,value,notes
16-50123,CC_a0,1.24589946e-003,
16-50123,CC_a1,2.76009618e-004,
16-50123,CC_a2,-1.22098869e-006,
16-50123,CC_a3,1.87868673e-007,
16-50123,CC_cpcor,-9.57000000e-008,
16-50123,CC_ctcor,3.2500e-006,
16-50123,CC_g,-9.68979423e-001,
16-50123,CC_h,1.53857189e-001,
16-50123,CC_i,-6.39560333e-005,
16-50123,CC_j,3.16931018e-005,
16-50123,CC_pa0,-4.92575770e-001,
16-50123,CC_pa1,1.54386956e-003,
16-50123,CC_pa2,8.43456949e-012,
16-50123,CC_ptca0,5.24224888e+005,
16-50123,CC_ptca1,-1.25346389e+001,
16-50123,CC_ptca2,-7.55011850e-002,
16-50123,CC_ptcb0,2.48597500e+001,
16-50123,CC_ptcb1,3.50000000e-004,
16-50123,CC_ptcb2,0.00000000e+000,
16-50123,CC_ptempa0,-7.63650943e+001,
16-50123,CC_ptempa1,4.70286027e+001,
16-50123,CC_ptempa2,1.47868682e-002,
16-50123,CC_offset,0,
