serial,name,value,notes
16-50018,CC_a0,1.27482361e-003,
16-50018,CC_a1,2.69779883e-004,
16-50018,CC_a2,-6.95921536e-007,
16-50018,CC_a3,1.63670896e-007,
16-50018,CC_cpcor,-9.57000000e-008,
16-50018,CC_ctcor,3.2500e-006,
16-50018,CC_g,-9.86134908e-001,
16-50018,CC_h,1.38655862e-001,
16-50018,CC_i,-7.14894011e-005,
16-50018,CC_j,2.46981695e-005,
16-50018,CC_pa0,-3.52443977e-002,
16-50018,CC_pa1,1.54592212e-003,
16-50018,CC_pa2,4.68925541e-012,
16-50018,CC_ptca0,5.24749595e+005,
16-50018,CC_ptca1,3.16897362e-001,
16-50018,CC_ptca2,-5.99514074e-002,
16-50018,CC_ptcb0,2.50406250e+001,
16-50018,CC_ptcb1,1.25000000e-004,
16-50018,CC_ptcb2,0.00000000e+000,
16-50018,CC_ptempa0,-6.26371811e+001,
16-50018,CC_ptempa1,5.21893855e+001,
16-50018,CC_ptempa2,-2.19303261e-001,
16-50018,CC_offset,0,
