serial,name,value,notes
16-6943,CC_a0,1.28359961e-003,
16-6943,CC_a1,2.69895561e-004,
16-6943,CC_a2,-9.42369602e-007,
16-6943,CC_a3,1.71480740e-007,
16-6943,CC_cpcor,-9.57000000e-008,
16-6943,CC_ctcor,3.2500e-006,
16-6943,CC_g,-1.01997471e+000,
16-6943,CC_h,1.45149216e-001,
16-6943,CC_i,3.63904715e-005,
16-6943,CC_j,1.71519069e-005,
16-6943,CC_pa0,2.14548389e+000,
16-6943,CC_pa1,1.57077332e-002,
16-6943,CC_pa2,-6.54119682e-010,
16-6943,CC_ptca0,5.25052247e+005,
16-6943,CC_ptca1,5.80937759e+000,
16-6943,CC_ptca2,1.56974368e-002,
16-6943,CC_ptcb0,2.51220000e+001,
16-6943,CC_ptcb1,-2.00000000e-004,
16-6943,CC_ptcb2,0.00000000e+000,
16-6943,CC_ptempa0,-6.87980454e+001,
16-6943,CC_ptempa1,5.06071455e+001,
16-6943,CC_ptempa2,-2.54719361e-001,
16-6943,CC_offset,0,
