serial,name,value,notes
16-50209,CC_a0,1.26023321e-003,
16-50209,CC_a1,2.73307918e-004,
16-50209,CC_a2,-1.18306320e-006,
16-50209,CC_a3,1.85712931e-007,
16-50209,CC_cpcor,-9.57000000e-008,
16-50209,CC_ctcor,3.2500e-006,
16-50209,CC_g,-1.01359852e+000,
16-50209,CC_h,1.26522658e-001,
16-50209,CC_i,-1.12473315e-005,
16-50209,CC_j,1.71865965e-005,
16-50209,CC_pa0,2.24489969e+000,
16-50209,CC_pa1,8.85407243e-003,
16-50209,CC_pa2,-1.56622364e-010,
16-50209,CC_ptca0,5.24288205e+005,
16-50209,CC_ptca1,1.61661576e+001,
16-50209,CC_ptca2,-1.99814926e-001,
16-50209,CC_ptcb0,2.45622500e+001,
16-50209,CC_ptcb1,-3.50000000e-004,
16-50209,CC_ptcb2,0.00000000e+000,
16-50209,CC_ptempa0,-5.48424383e+001,
16-50209,CC_ptempa1,5.38382520e+001,
16-50209,CC_ptempa2,-3.36661477e-001,
16-50209,CC_offset,0,
