serial,name,value,notes
1118,CC_angular_resolution,1.076,Constant; source_file FLORT-K_BBFL2_SN_1118_Calibration_2023-09-22.zip > BBFL2-1118.dev
1118,CC_dark_counts_cdom,48,
1118,CC_dark_counts_chlorophyll_a,49,
1118,CC_dark_counts_volume_scatter,47.525,
1118,CC_depolarization_ratio,0.039,Constant
1118,CC_measurement_wavelength,700,Constant
1118,CC_scale_factor_cdom,9.060E-02,
1118,CC_scale_factor_chlorophyll_a,1.198E-02,
1118,CC_scale_factor_volume_scatter,2.957E-06,
1118,CC_scattering_angle,124,Constant
