serial,name,value,notes
721-2107,CC_k0,-1.554149000003772,
721-2107,CC_k2,-9.984606947945275e-004,
721-2107,CC_f,"[1.965889301195e-05,-3.268181783147e-08,3.231072024533e-11,-1.771010776627e-14,5.085055743231e-18,-5.967433344164e-22]",
721-2107,CC_ta0,-1.424376e-004,
721-2107,CC_ta1,3.137336e-004,
721-2107,CC_ta2,-4.874591e-006,
721-2107,CC_ta3,2.102856e-007,
721-2107,CC_cg,-9.966306e-001,
721-2107,CC_ch,1.341494e-001,
721-2107,CC_ci,-3.047143e-004,
721-2107,CC_cj,3.963730e-005,
721-2107,CC_ctcor,3.250000e-006,
721-2107,CC_cpcor,-9.570000e-008,
721-2107,CC_wbotc,-3.713164e-007,
721-2107,CC_pa0,-1.308630e+000,
721-2107,CC_pa1,9.082955e-003,
721-2107,CC_pa2,1.100499e-010,
721-2107,CC_ptca0,5.223178e+005,
721-2107,CC_ptca1,-1.454018e+001,
721-2107,CC_ptca2,3.391645e-001,
721-2107,CC_ptcb0,1.033094e+002,
721-2107,CC_ptcb1,-8.418227e-003,
721-2107,CC_ptcb2,0.000000e+000,
721-2107,CC_ptempa0,-9.603305e+001,
721-2107,CC_ptempa1,3.958234e-002,
721-2107,CC_ptempa2,1.435242e-006,
721-2107,CC_set_a0,1.051300e+000,
721-2107,CC_set_a1,-1.500000e-003,
721-2107,CC_set_a2,4.020382e-001,
721-2107,CC_set_b0,-2.377178e-001,
721-2107,CC_set_b1,1.629673e+000,
721-2107,CC_set_c0,1.054685e-001,
721-2107,CC_set_c1,4.454822e-003,
721-2107,CC_set_c2,5.818713e-005,
721-2107,CC_set_ta0,7.316994e-004,
721-2107,CC_set_ta1,2.421869e-004,
721-2107,CC_set_ta2,1.546422e-006,
721-2107,CC_set_ta3,7.246121e-008,
721-2107,CC_set_e,1.100000e-002,
