serial,name,value,notes
26P76848-1388,CC_b,838.8,date in filename comes from latest sensor caldate read from file captured from relevant QCT
26P76848-1388,CC_c1,-5.72E+03,
26P76848-1388,CC_c2,-6.03E-01,
26P76848-1388,CC_c3,1.693125e+04,
26P76848-1388,CC_d1,8.045600e-02,
26P76848-1388,CC_d2,0.000000e+00,
26P76848-1388,CC_m,12582.9,
26P76848-1388,CC_offset_correction_factor,0,
26P76848-1388,CC_pressure_offset_calibration_coefficient,5.210000e-02,
26P76848-1388,CC_slope_correction_factor,1,
26P76848-1388,CC_t1,3.036646e+01,
26P76848-1388,CC_t2,7.435300e-01,
26P76848-1388,CC_t3,5.042604e+01,
26P76848-1388,CC_t4,1.440226e+02,
26P76848-1388,CC_u0,5.858992e+00,
26P76848-1388,CC_y1,-3.95E+03,
26P76848-1388,CC_y2,-1.02E+04,
26P76848-1388,CC_y3,0.000000e+00,
