deploymentNumber,Reference Designator,sensor.uid,startDateTime,stopDateTime,lat,lon,mooring.uid,CUID_Deploy,node.uid,versionNumber,deployedBy,CUID_Recover,recoveredBy,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
1,CE02SHSM-RIC21-00-CPMENG000,CGCON-NCPM02-00003,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID26-00-DCLENG000,CGCON-NDCL26-00016,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID26-01-ADCPTA000,CGINS-ADCPTA-19016,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID26-04-VELPTA000,CGINS-VELPTA-11780,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID26-06-PHSEND000,CGINS-PHSEND-P0118,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID26-07-NUTNRB000,CGINS-NUTNRB-00255,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID26-08-SPKIRB000,CGINS-SPKIRB-00248,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID27-00-DCLENG000,OL000306,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID27-01-OPTAAD000,CGINS-OPTAAD-00174,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID27-02-FLORTD000,CGINS-FLORTD-01123,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID27-03-CTDBPC000,CGINS-CTDBPC-50012,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-RID27-04-DOSTAD000,CGINS-DOSTAD-00223,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,7,80,,,C
1,CE02SHSM-SBC11-00-CPMENG000,CGCON-BCPM01-00009,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,0,80,,,C
1,CE02SHSM-SBD11-00-DCLENG000,CGCON-BDCL11-15009,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,0,80,,,C
1,CE02SHSM-SBD11-01-MOPAK0000,CGINS-MOPAK0-11856,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,0,80,,,C
1,CE02SHSM-SBD11-02-HYDGN0000,OL000299,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,0,80,,,C
1,CE02SHSM-SBD11-04-VELPTA000,CGINS-VELPTA-11775,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,1.3,80,,,C
1,CE02SHSM-SBD11-06-METBKA000,CGINS-METLGR-00011,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,0,80,,,C
1,CE02SHSM-SBD11-06-METBKA001,CGINS-METCTD-11000,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,1,80,,,C
1,CE02SHSM-SBD11-06-METBKA002,CGINS-METBPR-00252,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,-4,80,,,C
1,CE02SHSM-SBD11-06-METBKA003,CGINS-METHRH-00264,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,-4,80,,,C
1,CE02SHSM-SBD11-06-METBKA004,CGINS-METLWR-00242,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,-4,80,,,C
1,CE02SHSM-SBD11-06-METBKA005,CGINS-METPRC-00236,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,-4,80,,,C
1,CE02SHSM-SBD11-06-METBKA006,CGINS-METSWR-00252,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,-4,80,,,C
1,CE02SHSM-SBD11-06-METBKA007,CGINS-METWND-00244,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,-5,80,,,C
1,CE02SHSM-SBD12-00-DCLENG000,CGCON-BDCL12-15009,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,0,80,,,C
1,CE02SHSM-SBD12-03-HYDGN0000,OL000300,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,0,80,,,C
1,CE02SHSM-SBD12-04-PCO2AA000,CGINS-PCO2AA-33198,2015-04-02T20:15:00,2015-09-22T07:48:00,44.63833,-124.30388,CGMCE-02SHSM-00001,OC1503D,,1,,TN330,,250,0.7,80,,,C
