CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
SKQ202415S,"Pearce, Whitefield",,Pacific Surveyor crew,CE05MOAS-G1137-00-ENG000000,1,1,2024-10-04T23:11:00,2025-01-19T00:29:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGCON-GLDRCE-01137,44.6445,-124.3057,,1000,1000,,,
SKQ202415S,"Pearce, Whitefield",,Pacific Surveyor crew,CE05MOAS-G1137-01-PARADM000,1,1,2024-10-04T23:11:00,2025-01-19T00:29:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-PARADM-50245,44.6445,-124.3057,,1000,1000,,,
SKQ202415S,"Pearce, Whitefield",,Pacific Surveyor crew,CE05MOAS-G1137-02-FLORTM000,1,1,2024-10-04T23:11:00,2025-01-19T00:29:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-FLORTM-08412,44.6445,-124.3057,,1000,1000,,,
SKQ202415S,"Pearce, Whitefield",,Pacific Surveyor crew,CE05MOAS-G1137-03-ADCPAM000,1,1,2024-10-04T23:11:00,2025-01-19T00:29:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-ADCPAM-43473,44.6445,-124.3057,,1000,1000,,,
SKQ202415S,"Pearce, Whitefield",,Pacific Surveyor crew,CE05MOAS-G1137-04-DOSTAM000,1,1,2024-10-04T23:11:00,2025-01-19T00:29:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-DOSTAM-00178,44.6445,-124.3057,,1000,1000,,,
SKQ202415S,"Pearce, Whitefield",,Pacific Surveyor crew,CE05MOAS-G1137-05-CTDGVM000,1,1,2024-10-04T23:11:00,2025-01-19T00:29:00,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-CTDGVM-09036,44.6445,-124.3057,,1000,1000,,,
EK20260727,S.Pearce,,,CE05MOAS-G1137-00-ENG000000,2,1,2026-07-27T17:19:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGCON-GLDRCE-01137,44.6388,-124.3061,,1000,1000,,,
EK20260727,S.Pearce,,,CE05MOAS-G1137-01-PARADM000,2,1,2026-07-27T17:19:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-PARADM-50243,44.6388,-124.3061,,1000,1000,,,
EK20260727,S.Pearce,,,CE05MOAS-G1137-02-FLORTM000,2,1,2026-07-27T17:19:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-FLORTM-04040,44.6388,-124.3061,,1000,1000,,,
EK20260727,S.Pearce,,,CE05MOAS-G1137-03-ADCPAM000,2,1,2026-07-27T17:19:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-ADCPAM-43473,44.6388,-124.3061,,1000,1000,,,
EK20260727,S.Pearce,,,CE05MOAS-G1137-04-DOSTAM000,2,1,2026-07-27T17:19:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-DOSTAM-01234,44.6388,-124.3061,,1000,1000,,,
EK20260727,S.Pearce,,,CE05MOAS-G1137-05-CTDGVM000,2,1,2026-07-27T17:19:00,,CGVCE-05MOAS-00000,CGVEH-GLDRCE-01137,CGINS-CTDGVM-09014,44.6388,-124.3061,,1000,1000,,,
