CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
#AR82,,,,CP11SOSM-SBC11-00-CPMENG000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,,35.725,-74.853,,0,100,,,
#AR82,,,,CP11SOSM-SBD11-00-DCLENG000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,,35.725,-74.853,,0,100,,,
#AR82,,,,CP11SOSM-SBD11-01-MOPAK0000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,,35.725,-74.853,,0,100,,,
#AR82,,,,CP11SOSM-SBD11-02-HYDGN0000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,,35.725,-74.853,,0,100,,,
AR82,,,,CP11SOSM-SBD11-05-SPKIRB000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-SPKIRB-00239,35.725,-74.853,,-4,100,,,
AR82,,,,CP11SOSM-SBD11-06-METBKA000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-METLGR-00035,35.725,-74.853,,0,100,,,
AR82,,,,CP11SOSM-SBD11-06-METBKA001,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-METCTD-11123,35.725,-74.853,,1,100,,,
AR82,,,,CP11SOSM-SBD11-06-METBKA002,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-METBPR-00269,35.725,-74.853,,-4,100,,,
AR82,,,,CP11SOSM-SBD11-06-METBKA003,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-METHRH-00267,35.725,-74.853,,-4,100,,,
#AR82,,,,CP11SOSM-SBD11-06-METBKA004,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,,35.725,-74.853,,-4,100,,,
AR82,,,,CP11SOSM-SBD11-06-METBKA005,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-METPRC-00270,35.725,-74.853,,-4,100,,,
AR82,,,,CP11SOSM-SBD11-06-METBKA006,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-METSWR-00279,35.725,-74.853,,-4,100,,,
AR82,,,,CP11SOSM-SBD11-06-METBKA007,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-METWND-00239,35.725,-74.853,,-5,100,,,
#AR82,,,,CP11SOSM-SBD12-00-DCLENG000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,,35.725,-74.853,,0,100,,,
#AR82,,,,CP11SOSM-SBD12-03-HYDGN0000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,,35.725,-74.853,,0,100,,,
AR82,,,,CP11SOSM-SBD12-04-PCO2AA000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-PCO2AA-34231,35.725,-74.853,,0,100,,,
AR82,,,,CP11SOSM-SBD12-05-WAVSSA000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-WAVSSA-06301,35.725,-74.853,,0,100,,,
AR82,,,,CP11SOSM-RIC21-00-CPMENG000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGCON-NCPM02-20003,35.725,-74.853,,7,100,,,
#AR82,,,,CP11SOSM-RID26-00-DCLENG000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID26-01-PRTSZA000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-PRTSZA-02263,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID26-03-TURBDA000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-TURBDX-01216,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID26-04-VELPTA000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-VELPTA-11382,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID26-06-PHSEND000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-PHSEND-P0155,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID26-07-NUTNRB000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-NUTNRB-01102,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID26-08-SPKIRB000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-SPKIRB-00240,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID27-00-DCLENG000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGCON-NDCL27-20003,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID27-01-OPTAAD000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-OPTAAD-00129,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID27-02-FLORTD000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-FLORTD-01216,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID27-03-CTDBPC000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-CTDBPC-50056,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-RID27-04-DOSTAD000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-DOSTAD-00128,35.725,-74.853,,7,100,,,
AR82,,,,CP11SOSM-MFC31-00-CPMENG000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGCON-MCPM03-20003,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD36-00-DCLENG000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGCON-MDCL36-20005,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD36-01-PRTSZA000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-PRTSZA-02265,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD36-02-PRESFE000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-PRESFE-32937,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD36-03-TURBDA000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-TURBDX-01320,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD36-04-VELPTA000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-VELPTA-11417,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD36-05-PCO2WB000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-PCO2WB-C0098,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD36-06-PHSEND000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-PHSEND-P0158,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD37-00-DCLENG000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGCON-MDCL37-20003,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD37-01-OPTAAD000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-OPTAAD-00206,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD37-02-ADCPTF000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-ADCPTF-22672,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD37-03-CTDBPD000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-CTDBPD-50058,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD37-04-DOSTAD000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-DOSTAD-00130,35.725,-74.853,,99,100,,,
AR82,,,,CP11SOSM-MFD37-07-ZPLSCC000,1,1,2024-01-13T15:00:00,,CGMCP-11SOSM-00001,,CGINS-ZPLSCC-55103,35.725,-74.853,,99,100,,,
