CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
AR82,,,,CP12CNSW-SBS01-00-STCENG000,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,,CGCON-BSWSTC-00002,35.95353,-75.12497,,0,37,,,A
AR82,,,,CP12CNSW-SBS01-05-MOPAK0000,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,,CGINS-MOPAK0-11366,35.95353,-75.12497,,0,37,,,A
AR82,,,,CP12CNSW-SBI01-02-CTDMOS011,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,,CGINS-CTDMOS-11641,35.95353,-75.12497,,1,37,,,A
AR82,,,,CP12CNSW-SBS01-03-VELPTA000,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,,CGINS-VELPTA-11402,35.95353,-75.12497,,1,37,,,A
AR82,,,,CP12CNSW-WFP01-00-WFPENG001,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,CGVEH-CWFPCP-03502,CGCON-CWFPCP-03502,35.95353,-75.12497,,22,37,,,A
AR82,,,,CP12CNSW-WFP01-01-CTDPFP000,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,CGVEH-CWFPCP-03502,CGINS-CTDPFP-00068,35.95353,-75.12497,,22,37,,,A
AR82,,,,CP12CNSW-WFP01-02-DOFSTP000,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,CGVEH-CWFPCP-03502,CGINS-DOFSTP-04321,35.95353,-75.12497,,22,37,,,A
#AR82,,,,CP12CNSW-WFP01-03-FLORTP000,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,CGVEH-CWFPCP-03502,,35.95353,-75.12497,,22,37,not installed on prawler for first deployment,,A
AR82,,,,CP12CNSW-MFI01-02-CTDMOS031,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,,CGINS-CTDMOS-11648,35.95353,-75.12497,,36,37,,,A
AR82,,,,CP12CNSW-MFI01-02-ADCPTQ010,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,,CGINS-ADCPTQ-01043,35.95353,-75.12497,,36,37,,,A
AR82,,,,CP12CNSW-MFI01-02-WAVSSQ010,1,1,2024-04-15T19:06:00,,CGMCP-12CNSW-00001,,CGINS-WAVSSQ-01043,35.95353,-75.12497,,36,37,,,A
