CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
AR82,,,,CP13EAPM-SBS01-00-STCENG000,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,,CGCON-BSTC01-00004,35.95465,-74.84603,,0,101,,,A
AR82,,,,CP13EAPM-SBS01-05-MOPAK0000,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,,CGINS-MOPAK0-11357,35.95465,-74.84603,,0,101,,,A
AR82,,,,CP13EAPM-SBI01-02-CTDMOS011,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,,CGINS-CTDMOS-12585,35.95465,-74.84603,,1,101,,,A
AR82,,,,CP13EAPM-RII01-02-ADCPUP021,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,,CGINS-ADCPUP-00287,35.95465,-74.84603,,17,101,,,A
AR82,,,,CP13EAPM-RII01-02-ADCPTG010,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,,CGINS-ADCPTG-24543,35.95465,-74.84603,,83,101,,,A
AR82,,,,CP13EAPM-WFP01-00-WFPENG001,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,CGVEH-CWFPCP-99101,CGCON-CWFPCP-99101,35.95465,-74.84603,,82,101,,,A
AR82,,,,CP13EAPM-WFP01-01-VEL3DK000,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,CGVEH-CWFPCP-99101,CGINS-VEL3DK-00015,35.95465,-74.84603,,82,101,,,A
AR82,,,,CP13EAPM-WFP01-02-DOFSTK000,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,CGVEH-CWFPCP-99101,CGINS-DOFSTK-02978,35.95465,-74.84603,,82,101,,,A
AR82,,,,CP13EAPM-WFP01-03-CTDPFK000,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,CGVEH-CWFPCP-99101,CGINS-CTDPFK-00111,35.95465,-74.84603,,82,101,,,A
AR82,,,,CP13EAPM-WFP01-04-FLORTK000,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,CGVEH-CWFPCP-99101,CGINS-FLORTK-01029,35.95465,-74.84603,,82,101,,,A
AR82,,,,CP13EAPM-WFP01-05-PARADK000,1,1,2024-04-16T14:00:00,,CGMCP-13EAPM-00001,CGVEH-CWFPCP-99101,CGINS-PARADK-20541,35.95465,-74.84603,,82,101,,,A
