CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
AR82,,,,CP13NOPM-SBS01-00-STCENG000,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,,CGCON-BSTC01-00018,36.175,-74.8267,,0,97,,,A
AR82,,,,CP13NOPM-SBS01-05-MOPAK0000,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,,CGINS-MOPAK0-58481,36.175,-74.8267,,0,97,,,A
AR82,,,,CP13NOPM-SBI01-02-CTDMOS011,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,,CGINS-CTDMOS-12331,36.175,-74.8267,,1,97,,,A
AR82,,,,CP13NOPM-RII01-02-ADCPUP021,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,,CGINS-ADCPUP-00276,36.175,-74.8267,,17,97,,,A
AR82,,,,CP13NOPM-RII01-02-ADCPTG010,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,,CGINS-ADCPTG-19151,36.175,-74.8267,,79,97,,,A
AR82,,,,CP13NOPM-WFP01-00-WFPENG001,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,CGVEH-CWFPCP-71401,CGCON-CWFPCP-71401,36.175,-74.8267,,78,97,,,A
AR82,,,,CP13NOPM-WFP01-01-VEL3DK000,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,CGVEH-CWFPCP-71401,CGINS-VEL3DK-00012,36.175,-74.8267,,78,97,,,A
AR82,,,,CP13NOPM-WFP01-02-DOFSTK000,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,CGVEH-CWFPCP-71401,CGINS-DOFSTK-00209,36.175,-74.8267,,78,97,,,A
AR82,,,,CP13NOPM-WFP01-03-CTDPFK000,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,CGVEH-CWFPCP-71401,CGINS-CTDPFK-00093,36.175,-74.8267,,78,97,,,A
AR82,,,,CP13NOPM-WFP01-04-FLORTK000,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,CGVEH-CWFPCP-71401,CGINS-FLORTK-00830,36.175,-74.8267,,78,97,,,A
AR82,,,,CP13NOPM-WFP01-05-PARADK000,1,1,2024-02-26T12:00:00,,CGMCP-13NOPM-00001,CGVEH-CWFPCP-71401,CGINS-PARADK-20525,36.175,-74.8267,,78,97,,,A
