CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
AR82,,,,CP14NEPM-SBS01-00-STCENG000,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,,CGCON-BSTC01-00025,36.05807,-74.77755,,0,302,,,A
AR82,,,,CP14NEPM-SBS01-05-MOPAK0000,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,,CGINS-MOPAK0-43263,36.05807,-74.77755,,0,302,,,A
AR82,,,,CP14NEPM-SBI01-02-CTDMOS011,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,,CGINS-CTDMOS-13558,36.05807,-74.77755,,1,302,,,A
AR82,,,,CP14NEPM-RII01-02-ADCPUP021,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,,CGINS-ADCPUP-00139,36.05807,-74.77755,,17,302,,,A
AR82,,,,CP14NEPM-RII01-02-ADCPSL010,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,,CGINS-ADCPSL-18445,36.05807,-74.77755,,283,302,,,A
AR82,,,,CP14NEPM-WFP01-00-WFPENG001,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,CGVEH-CWFPCP-30001,CGCON-CWFPCP-30001,36.05807,-74.77755,,282,302,,,A
AR82,,,,CP14NEPM-WFP01-01-VEL3DK000,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,CGVEH-CWFPCP-30001,CGINS-VEL3DK-00468,36.05807,-74.77755,,282,302,,,A
AR82,,,,CP14NEPM-WFP01-02-DOFSTK000,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,CGVEH-CWFPCP-30001,CGINS-DOFSTK-03506,36.05807,-74.77755,,282,302,,,A
AR82,,,,CP14NEPM-WFP01-03-CTDPFK000,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,CGVEH-CWFPCP-30001,CGINS-CTDPFK-00184,36.05807,-74.77755,,282,302,,,A
AR82,,,,CP14NEPM-WFP01-04-FLORTK000,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,CGVEH-CWFPCP-30001,CGINS-FLORTK-01537,36.05807,-74.77755,,282,302,,,A
AR82,,,,CP14NEPM-WFP01-05-PARADK000,1,1,2024-04-08T14:25:00,,CGMCP-14NEPM-00001,CGVEH-CWFPCP-30001,CGINS-PARADK-20608,36.05807,-74.77755,,282,302,,,A
AR87,,,,CP14NEPM-SBS01-00-STCENG000,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,,CGCON-BSTC01-00005,36.0492,-74.7787,,0,300,,,A
AR87,,,,CP14NEPM-SBS01-05-MOPAK0000,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,,CGINS-MOPAK0-11358,36.05807,-74.7787,,0,300,,,A
AR87,,,,CP14NEPM-SBI01-02-CTDMOS011,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,,CGINS-CTDMOS-13619,36.05807,-74.7787,,1,300,,,A
AR87,,,,CP14NEPM-RII01-02-ADCPUP021,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,,CGINS-ADCPUP-00269,36.05807,-74.7787,,17,300,,,A
AR87,,,,CP14NEPM-RII01-02-ADCPSL010,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,,CGINS-ADCPSL-18446,36.05807,-74.7787,,281,300,,,A
AR87,,,,CP14NEPM-WFP01-00-WFPENG001,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,CGVEH-CWFPCP-10301,CGCON-CWFPCP-10301,36.05807,-74.7787,,280,300,,,A
AR87,,,,CP14NEPM-WFP01-01-VEL3DK000,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,CGVEH-CWFPCP-10301,CGINS-VEL3DK-00035,36.05807,-74.7787,,280,300,,,A
AR87,,,,CP14NEPM-WFP01-02-DOFSTK000,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,CGVEH-CWFPCP-10301,CGINS-DOFSTK-03412,36.05807,-74.7787,,280,300,,,A
AR87,,,,CP14NEPM-WFP01-03-CTDPFK000,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,CGVEH-CWFPCP-10301,CGINS-CTDPFK-00114,36.05807,-74.7787,,280,300,,,A
AR87,,,,CP14NEPM-WFP01-04-FLORTK000,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,CGVEH-CWFPCP-10301,CGINS-FLORTK-01117,36.05807,-74.7787,,280,300,,,A
AR87,,,,CP14NEPM-WFP01-05-PARADK000,2,1,2025-03-28T12:00:00,,CGMCP-14NEPM-00002,CGVEH-CWFPCP-10301,CGINS-PARADK-20658,36.05807,-74.7787,,280,300,,,A
