CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
AR82,,KH20240516,,CP15MOAS-GL387-00-ENG000000,1,1,2024-04-05T17:51:00,2024-05-16T13:55:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGCON-GLDRCP-00387,35.88224,-74.8317,,350,350,MA,,
AR82,,KH20240516,,CP15MOAS-GL387-01-ADCPAM000,1,1,2024-04-05T17:51:00,2024-05-16T13:55:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-ADCPAM-55979,35.88224,-74.8317,,350,350,MA,,
AR82,,KH20240516,,CP15MOAS-GL387-02-FLORTM000,1,1,2024-04-05T17:51:00,2024-05-16T13:55:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-FLORTM-04471,35.88224,-74.8317,,350,350,MA,,
AR82,,KH20240516,,CP15MOAS-GL387-03-CTDGVM000,1,1,2024-04-05T17:51:00,2024-05-16T13:55:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-CTDGVM-09059,35.88224,-74.8317,,350,350,MA,,
AR82,,KH20240516,,CP15MOAS-GL387-04-DOSTAM000,1,1,2024-04-05T17:51:00,2024-05-16T13:55:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-DOSTAM-00310,35.88224,-74.8317,,350,350,MA; top mount,,
AR82,,KH20240516,,CP15MOAS-GL387-05-PARADM000,1,1,2024-04-05T17:51:00,2024-05-16T13:55:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-PARADM-50151,35.88224,-74.8317,,350,350,MA,,
KH20240523,,KH20240616,,CP15MOAS-GL387-00-ENG000000,2,1,2024-05-23T15:08:00,2024-06-16T18:42:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGCON-GLDRCP-00387,35.94993,-74.79575,,350,350,MA,,
KH20240523,,KH20240616,,CP15MOAS-GL387-01-ADCPAM000,2,1,2024-05-23T15:08:00,2024-06-16T18:42:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-ADCPAM-55979,35.94993,-74.79575,,350,350,MA,,
KH20240523,,KH20240616,,CP15MOAS-GL387-02-FLORTM000,2,1,2024-05-23T15:08:00,2024-06-16T18:42:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-FLORTM-04471,35.94993,-74.79575,,350,350,MA,,
KH20240523,,KH20240616,,CP15MOAS-GL387-03-CTDGVM000,2,1,2024-05-23T15:08:00,2024-06-16T18:42:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-CTDGVM-09059,35.94993,-74.79575,,350,350,MA,,
KH20240523,,KH20240616,,CP15MOAS-GL387-04-DOSTAM000,2,1,2024-05-23T15:08:00,2024-06-16T18:42:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-DOSTAM-00310,35.94993,-74.79575,,350,350,MA; top mount,,
KH20240523,,KH20240616,,CP15MOAS-GL387-05-PARADM000,2,1,2024-05-23T15:08:00,2024-06-16T18:42:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-PARADM-50151,35.94993,-74.79575,,350,350,MA,,
PH20240630,,,,CP15MOAS-GL387-00-ENG000000,3,1,2024-06-30T15:40:00,,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGCON-GLDRCP-00387,35.96227,-74.7948,,350,350,MA,,
PH20240630,,,,CP15MOAS-GL387-01-ADCPAM000,3,1,2024-06-30T15:40:00,,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-ADCPAM-55979,35.96227,-74.7948,,350,350,MA,,
PH20240630,,,,CP15MOAS-GL387-02-FLORTM000,3,1,2024-06-30T15:40:00,,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-FLORTM-04471,35.96227,-74.7948,,350,350,MA,,
PH20240630,,,,CP15MOAS-GL387-03-CTDGVM000,3,1,2024-06-30T15:40:00,,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-CTDGVM-09059,35.96227,-74.7948,,350,350,MA,,
PH20240630,,,,CP15MOAS-GL387-04-DOSTAM000,3,1,2024-06-30T15:40:00,,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-DOSTAM-00310,35.96227,-74.7948,,350,350,MA; top mount,,
PH20240630,,,,CP15MOAS-GL387-05-PARADM000,3,1,2024-06-30T15:40:00,,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00387,CGINS-PARADM-50151,35.96227,-74.7948,,350,350,MA,,
