CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
PH20240630,,KH20240821,,CP15MOAS-PG564-00-ENG000000,1,1,2024-06-30T13:27:00,2024-08-21T17:23:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGCON-GLDRCP-00564,35.95762,-74.7631,,1000,1000,OF,,
PH20240630,,KH20240821,,CP15MOAS-PG564-01-CTDGVM000,1,1,2024-06-30T13:27:00,2024-08-21T17:23:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGINS-CTDGVM-09307,35.95762,-74.7631,,1000,1000,OF,,
PH20240630,,KH20240821,,CP15MOAS-PG564-02-DOSTAM000,1,1,2024-06-30T13:27:00,2024-08-21T17:23:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGINS-DOSTAM-00604,35.95762,-74.7631,,1000,1000,OF; top mount,,
PH20240630,,KH20240821,,CP15MOAS-PG564-03-FLORTM000,1,1,2024-06-30T13:27:00,2024-08-21T17:23:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGINS-FLORTM-04093,35.95762,-74.7631,,1000,1000,OF,,
PH20240630,,KH20240821,,CP15MOAS-PG564-04-FLORTO000,1,1,2024-06-30T13:27:00,2024-08-21T17:23:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGINS-FLORTO-01348,35.95762,-74.7631,,1000,1000,OF,,
PH20240630,,KH20240821,,CP15MOAS-PG564-05-NUTNRM000,1,1,2024-06-30T13:27:00,2024-08-21T17:23:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGINS-NUTNRM-00658,35.95762,-74.7631,,1000,1000,OF,,
PH20240630,,KH20240821,,CP15MOAS-PG564-06-PARADM000,1,1,2024-06-30T13:27:00,2024-08-21T17:23:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGINS-PARADM-50218,35.95762,-74.7631,,1000,1000,OF,,
KH20240821,,KH20240917,,CP15MOAS-PG564-00-ENG000000,2,1,2024-08-22T13:39:00,2024-09-18T16:22:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGCON-GLDRCP-00564,35.95823,-74.71948,,1000,1000,OF,,
KH20240821,,KH20240917,,CP15MOAS-PG564-01-CTDGVM000,2,1,2024-08-22T13:39:00,2024-09-18T16:22:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGINS-CTDGVM-09307,35.95823,-74.71948,,1000,1000,OF,,
KH20240821,,KH20240917,,CP15MOAS-PG564-02-DOSTAM000,2,1,2024-08-22T13:39:00,2024-09-18T16:22:00,CGVCP-15MOAS-00000,CGVEH-GLDRCP-00564,CGINS-DOSTAM-00604,35.95823,-74.71948,,1000,1000,OF; top mount,,
