CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
AR82,,AR82,,CP16MOAS-A6264-00-ENG000000,1,1,2024-04-06T17:55:00,2024-04-07T17:55:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGCON-AUVPNR-06264,36.17153,-74.96852,,,,along-shelf survey; AL-1 to AL-7,,
AR82,,AR82,,CP16MOAS-A6264-01-FLORTN000,1,1,2024-04-06T17:55:00,2024-04-07T17:55:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-FLORTN-08365,36.17153,-74.96852,,,,along-shelf survey; AL-1 to AL-7,,
AR82,,AR82,,CP16MOAS-A6264-02-DOSTAN000,1,1,2024-04-06T17:55:00,2024-04-07T17:55:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-DOSTAN-01520,36.17153,-74.96852,,,,along-shelf survey; AL-1 to AL-7,,
AR82,,AR82,,CP16MOAS-A6264-03-CTDAVN000,1,1,2024-04-06T17:55:00,2024-04-07T17:55:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-CTDAVN-00424,36.17153,-74.96852,,,,along-shelf survey; AL-1 to AL-7,,
AR82,,AR82,,CP16MOAS-A6264-04-NUTNRN000,1,1,2024-04-06T17:55:00,2024-04-07T17:55:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-NUTNRN-01121,36.17153,-74.96852,,,,along-shelf survey; AL-1 to AL-7,,
AR82,,AR82,,CP16MOAS-A6264-05-ADCPAN000,1,1,2024-04-06T17:55:00,2024-04-07T17:55:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-ADCPAN-22077,36.17153,-74.96852,,,,along-shelf survey; AL-1 to AL-7,,
AR82,,AR82,,CP16MOAS-A6264-06-PARADN000,1,1,2024-04-06T17:55:00,2024-04-07T17:55:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-PARADN-50372,36.17153,-74.96852,,,,along-shelf survey; AL-1 to AL-7,,
VA20241012,,VA20241012,,CP16MOAS-A6264-00-ENG000000,2,1,2024-10-12T22:25:00,2024-10-13T10:50:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGCON-AUVPNR-06264,35.9313,-74.76667,,,,across-shelf survey; AC-2 to AC-1,,
VA20241012,,VA20241012,,CP16MOAS-A6264-01-FLORTN000,2,1,2024-10-12T22:25:00,2024-10-13T10:50:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-FLORTN-08365,35.9313,-74.76667,,,,across-shelf survey; AC-2 to AC-1,,
VA20241012,,VA20241012,,CP16MOAS-A6264-02-DOSTAN000,2,1,2024-10-12T22:25:00,2024-10-13T10:50:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-DOSTAN-01520,35.9313,-74.76667,,,,across-shelf survey; AC-2 to AC-1,,
VA20241012,,VA20241012,,CP16MOAS-A6264-03-CTDAVN000,2,1,2024-10-12T22:25:00,2024-10-13T10:50:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-CTDAVN-00424,35.9313,-74.76667,,,,across-shelf survey; AC-2 to AC-1,,
VA20241012,,VA20241012,,CP16MOAS-A6264-04-NUTNRN000,2,1,2024-10-12T22:25:00,2024-10-13T10:50:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-NUTNRN-01121,35.9313,-74.76667,,,,across-shelf survey; AC-2 to AC-1,,
VA20241012,,VA20241012,,CP16MOAS-A6264-05-ADCPAN000,2,1,2024-10-12T22:25:00,2024-10-13T10:50:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-ADCPAN-22077,35.9313,-74.76667,,,,across-shelf survey; AC-2 to AC-1,,
VA20241012,,VA20241012,,CP16MOAS-A6264-06-PARADN000,2,1,2024-10-12T22:25:00,2024-10-13T10:50:00,CGVCP-16MOAS-00000,CGVEH-AUVPNR-06264,CGINS-PARADN-50372,35.9313,-74.76667,,,,across-shelf survey; AC-2 to AC-1,,
