CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
AR69-01,,AR69-01,,GI05MOAS-PG575-00-ENG000000,3,1,2022-06-28T17:24:00,2022-07-01T14:37:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGCON-GLDRGP-00575,59.81703,-39.11459,,200,200,,,
AR69-01,,AR69-01,,GI05MOAS-PG575-01-CTDGVM000,3,1,2022-06-28T17:24:00,2022-07-01T14:37:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-CTDGVM-09287,59.81703,-39.11459,,200,200,,,
AR69-01,,AR69-01,,GI05MOAS-PG575-02-DOSTAM000,3,1,2022-06-28T17:24:00,2022-07-01T14:37:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-DOSTAM-00414,59.81703,-39.11459,,200,200,,,
AR69-01,,AR69-01,,GI05MOAS-PG575-03-FLORTM000,3,1,2022-06-28T17:24:00,2022-07-01T14:37:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-FLORTM-03815,59.81703,-39.11459,,200,200,,,
AR69-01,,AR69-01,,GI05MOAS-PG575-04-FLORTO000,3,1,2022-06-28T17:24:00,2022-07-01T14:37:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-FLORTO-01332,59.81703,-39.11459,,200,200,,,
AR69-01,,AR69-01,,GI05MOAS-PG575-05-NUTNRM000,3,1,2022-06-28T17:24:00,2022-07-01T14:37:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-NUTNRM-00661,59.81703,-39.11459,,200,200,,,
AR69-01,,AR69-01,,GI05MOAS-PG575-06-PARADM000,3,1,2022-06-28T17:24:00,2022-07-01T14:37:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-PARADM-50200,59.81703,-39.11459,,200,200,,,
AR76-03,,UNRECOVERED,,GI05MOAS-PG575-00-ENG000000,4,1,2023-08-30T15:10:00,2023-08-30T19:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGCON-GLDRGP-00575,59.8827,-39.0369,,200,200,glider lost at sea,,
AR76-03,,UNRECOVERED,,GI05MOAS-PG575-01-CTDGVM000,4,1,2023-08-30T15:10:00,2023-08-30T19:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-CTDGVM-09287,59.8827,-39.0369,,200,200,glider lost at sea,,
AR76-03,,UNRECOVERED,,GI05MOAS-PG575-02-DOSTAM000,4,1,2023-08-30T15:10:00,2023-08-30T19:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-DOSTAM-00414,59.8827,-39.0369,,200,200,top mount; glider lost at sea,,
AR76-03,,UNRECOVERED,,GI05MOAS-PG575-03-FLORTM000,4,1,2023-08-30T15:10:00,2023-08-30T19:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-FLORTM-03815,59.8827,-39.0369,,200,200,glider lost at sea,,
AR76-03,,UNRECOVERED,,GI05MOAS-PG575-04-FLORTO000,4,1,2023-08-30T15:10:00,2023-08-30T19:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-FLORTO-01332,59.8827,-39.0369,,200,200,glider lost at sea,,
AR76-03,,UNRECOVERED,,GI05MOAS-PG575-05-NUTNRM000,4,1,2023-08-30T15:10:00,2023-08-30T19:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-NUTNRM-00727,59.8827,-39.0369,,200,200,glider lost at sea,,
AR76-03,,UNRECOVERED,,GI05MOAS-PG575-06-PARADM000,4,1,2023-08-30T15:10:00,2023-08-30T19:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00575,CGINS-PARADM-50200,59.8827,-39.0369,,200,200,glider lost at sea,,
